attributions/name,attributions/text,data/id,data/infoUrl,data/name,data/type/id,data/type/name
Wikipedia,Wikipedia extracts are distributed under the CC BY-SA license (https://creativecommons.org/licenses/by-sa/3.0/),KS126XS6CQCFGC3NG79X,https://skills.emsidata.com/skills/KS126XS6CQCFGC3NG79X,.NET Assemblies,ST1,Specialized Skill
,,ES50D03AC9CFC1A0BC93,https://skills.emsidata.com/skills/ES50D03AC9CFC1A0BC93,.NET Development,ST1,Specialized Skill
,,KS1200B62W5ZF38RJ7TD,https://skills.emsidata.com/skills/KS1200B62W5ZF38RJ7TD,.NET Framework,ST1,Specialized Skill
,,KS126XW78QJCF4TRV2X7,https://skills.emsidata.com/skills/KS126XW78QJCF4TRV2X7,.NET Framework 1,ST1,Specialized Skill
,,KS126XY68BNKXSBSLPYS,https://skills.emsidata.com/skills/KS126XY68BNKXSBSLPYS,.NET Framework 3,ST1,Specialized Skill
,,KS126XR63RKYVCKYDNBN,https://skills.emsidata.com/skills/KS126XR63RKYVCKYDNBN,.NET Framework 4,ST1,Specialized Skill
,,ES1A2175859F80D25163,https://skills.emsidata.com/skills/ES1A2175859F80D25163,.NET MAUI (Multi-Platform App UI),ST1,Specialized Skill
,,KS126Y166NXP5X1SLV6V,https://skills.emsidata.com/skills/KS126Y166NXP5X1SLV6V,.NET Reflector,ST1,Specialized Skill
,,KS126Y16DLZ0N5THPLDM,https://skills.emsidata.com/skills/KS126Y16DLZ0N5THPLDM,.NET Remoting,ST1,Specialized Skill
,,BGSA5DBAB2CA5E93368B,https://skills.emsidata.com/skills/BGSA5DBAB2CA5E93368B,.htaccess Files,ST1,Specialized Skill
,,KSLGDAXJ4EFDMIOPMGL2,https://skills.emsidata.com/skills/KSLGDAXJ4EFDMIOPMGL2,.nettiers,ST1,Specialized Skill
,,KS1200M68TBM4SXLZV0G,https://skills.emsidata.com/skills/KS1200M68TBM4SXLZV0G,10 Gigabit Ethernet,ST1,Specialized Skill
,,ESCADB851468B8293B48,https://skills.emsidata.com/skills/ESCADB851468B8293B48,10-Hour MIOSHA Safety Certification,ST3,Certification
,,ES67DFA2E1A6147D3C6D,https://skills.emsidata.com/skills/ES67DFA2E1A6147D3C6D,10-Hour OSHA Construction Card,ST3,Certification
,,ES1A2BE4BB97545058AD,https://skills.emsidata.com/skills/ES1A2BE4BB97545058AD,10-Hour OSHA General Industry Card,ST3,Certification
,,ES769C0970B9C7902C9D,https://skills.emsidata.com/skills/ES769C0970B9C7902C9D,100-Ton Master Captain's License,ST3,Certification
,,KSJCP2DYKDSINHFDMF51,https://skills.emsidata.com/skills/KSJCP2DYKDSINHFDMF51,1010data,ST1,Specialized Skill
,,KS1200L6T0NXQPW7Z8YR,https://skills.emsidata.com/skills/KS1200L6T0NXQPW7Z8YR,10BASE-F (Physical Layer Protocols),ST1,Specialized Skill
,,KS1200K743J4NT3LXJ3B,https://skills.emsidata.com/skills/KS1200K743J4NT3LXJ3B,10BASE2,ST1,Specialized Skill
,,KS1200L6N1G9SQSN2K4C,https://skills.emsidata.com/skills/KS1200L6N1G9SQSN2K4C,10BASE5,ST1,Specialized Skill
,,BGS17D5F207B94197B41,https://skills.emsidata.com/skills/BGS17D5F207B94197B41,12 Volt Electricity,ST1,Specialized Skill
,,KSG3JYO4PNRLSK692Z3J,https://skills.emsidata.com/skills/KSG3JYO4PNRLSK692Z3J,128bit,ST1,Specialized Skill
,,KSFX0RS58RA2JDB0PO5E,https://skills.emsidata.com/skills/KSFX0RS58RA2JDB0PO5E,12factor,ST1,Specialized Skill
,,ESF4BA869D66098F2ED0,https://skills.emsidata.com/skills/ESF4BA869D66098F2ED0,1Password,ST1,Specialized Skill
,,ES5B35DE2ED675A8EFC3,https://skills.emsidata.com/skills/ES5B35DE2ED675A8EFC3,1st Class Power Engineer Certificate,ST3,Certification
,,ES28DF79DFF7EF9EACDE,https://skills.emsidata.com/skills/ES28DF79DFF7EF9EACDE,200-Ton Master Captain's License,ST3,Certification
,,KS1200Y5ZNNT2B1M81RN,https://skills.emsidata.com/skills/KS1200Y5ZNNT2B1M81RN,2020 Design Software,ST1,Specialized Skill
,,ES6864C564270AACA4CB,https://skills.emsidata.com/skills/ES6864C564270AACA4CB,25-Ton Master Captain's License,ST3,Certification
,,KS1200Y714QV48TFJ75H,https://skills.emsidata.com/skills/KS1200Y714QV48TFJ75H,2D Animation,ST1,Specialized Skill
,,KS1200Y77WTLF0Y9J7TM,https://skills.emsidata.com/skills/KS1200Y77WTLF0Y9J7TM,2D Computer Graphics,ST1,Specialized Skill
,,ES30F1316344594A4359,https://skills.emsidata.com/skills/ES30F1316344594A4359,2D Computer-Aided Drafting And Design,ST1,Specialized Skill
,,KS1200Z77T1YZ4DJZ7M9,https://skills.emsidata.com/skills/KS1200Z77T1YZ4DJZ7M9,2D Gel Analysis Software,ST1,Specialized Skill
,,ES8BDBBAA6AB10DE1E58,https://skills.emsidata.com/skills/ES8BDBBAA6AB10DE1E58,2nd Class Power Engineer Certificate,ST3,Certification
,,ES490FB5A97C181C8CA0,https://skills.emsidata.com/skills/ES490FB5A97C181C8CA0,30-Hour MIOSHA Safety Certification,ST3,Certification
,,ES7AE78C7222D7FAB9C1,https://skills.emsidata.com/skills/ES7AE78C7222D7FAB9C1,30-Hour OSHA Construction Card,ST3,Certification
,,ES17426C347D7CB45DE3,https://skills.emsidata.com/skills/ES17426C347D7CB45DE3,30-Hour OSHA General Industry Card,ST3,Certification
,,KS120196S0WRN2WBY8ZR,https://skills.emsidata.com/skills/KS120196S0WRN2WBY8ZR,35 Mm Films,ST1,Specialized Skill
,,BGS146A23071499E566E,https://skills.emsidata.com/skills/BGS146A23071499E566E,360-Degree Feedback,ST1,Specialized Skill
,,KS126YN74S42KYQZCPH6,https://skills.emsidata.com/skills/KS126YN74S42KYQZCPH6,389 Directory Server (Fedora Project),ST1,Specialized Skill
,,ESF779A5C0C5C3D9EF42,https://skills.emsidata.com/skills/ESF779A5C0C5C3D9EF42,3A Pesticide Applicator License,ST3,Certification
,,ESCB9BDF09B45480E584,https://skills.emsidata.com/skills/ESCB9BDF09B45480E584,3B Pesticide Applicator License,ST3,Certification
,,KS1201C66L7TG167P9ZN,https://skills.emsidata.com/skills/KS1201C66L7TG167P9ZN,3COM Certified IP Telephony NBX Expert,ST3,Certification
,,KS1201D70SNS03FL6WB1,https://skills.emsidata.com/skills/KS1201D70SNS03FL6WB1,3COM Certified IP Telephony VCX Expert,ST3,Certification
,,KS1201F63V91RBJT9L04,https://skills.emsidata.com/skills/KS1201F63V91RBJT9L04,3CX Phone Systems,ST1,Specialized Skill
,,ES7FDFD39CA61932DD5E,https://skills.emsidata.com/skills/ES7FDFD39CA61932DD5E,3Com Certified Wireless Specialist,ST3,Certification
,,ESA0CCF8B28EE01393A7,https://skills.emsidata.com/skills/ESA0CCF8B28EE01393A7,3D Animation,ST1,Specialized Skill
